iter	Passed	Remaining
0	440	131783
1	747	111425
2	1082	107152
3	1381	102219
4	1656	97732
5	1956	95865
6	2266	94883
7	2559	93421
8	2853	92270
9	3133	90859
10	3431	90162
11	3724	89387
12	4018	88716
13	4328	88416
14	4620	87788
15	4919	87322
16	5216	86837
17	5522	86518
18	5804	85838
19	5886	82414
20	6188	82216
21	6460	81639
22	6743	81212
23	7036	80917
24	7150	78655
25	7225	76142
26	7375	74576
27	7689	74694
28	7989	74659
29	8266	74402
30	8558	74261
31	8880	74376
32	9183	74305
33	9486	74215
34	9774	74007
35	10070	73848
36	10359	73637
37	10654	73462
38	10947	73264
39	11247	73109
40	11518	72760
41	11790	72426
42	12083	72217
43	12366	71948
44	12646	71663
45	12926	71379
46	13222	71178
47	13507	70915
48	13780	70588
49	14062	70314
50	14362	70120
51	14654	69889
52	14938	69618
53	15247	69462
54	15538	69217
55	15817	68921
56	16110	68683
57	16390	68386
58	16684	68150
59	16958	67832
60	17247	67576
61	17565	67428
62	17873	67239
63	18190	67078
64	18507	66912
65	18819	66723
66	19124	66506
67	19440	66325
68	19784	66236
69	20104	66057
70	20412	65838
71	20727	65637
72	21012	65341
73	21300	65054
74	21590	64770
75	21902	64554
76	22199	64291
77	22501	64041
78	22796	63773
79	23060	63417
80	23404	63277
81	23694	62992
82	23998	62743
83	24280	62434
84	24590	62200
85	24894	61945
86	25171	61626
87	25463	61344
88	25735	61012
89	26011	60694
90	26303	60410
91	26590	60118
92	26875	59819
93	27167	59536
94	27433	59198
95	27725	58917
96	27994	58586
97	28274	58279
98	28565	57995
99	28895	57791
100	29178	57490
101	29494	57253
102	29767	56933
103	30051	56635
104	30318	56305
105	30616	56034
106	30897	55730
107	31181	55434
108	31444	55100
109	31732	54810
110	31998	54483
111	32291	54202
112	32593	53938
113	32882	53650
114	33171	53362
115	33453	53064
116	33752	52792
117	34059	52532
118	34356	52257
119	34670	52006
120	35004	51782
121	35299	51501
122	35609	51243
123	35904	50961
124	36196	50674
125	36512	50422
126	36827	50166
127	37097	49850
128	37422	49606
129	37727	49335
130	38023	49053
131	38319	48770
132	38557	48414
133	38848	48125
134	39142	47841
135	39449	47572
136	39739	47281
137	40033	46995
138	40357	46745
139	40678	46489
140	41008	46243
141	41243	45891
142	41539	45606
143	41832	45318
144	42114	45019
145	42409	44732
146	42722	44466
147	43022	44185
148	43311	43893
149	43591	43591
150	43910	43328
151	44162	43000
152	44467	42723
153	44736	42412
154	45033	42128
155	45302	41817
156	45585	41520
157	45869	41224
158	46155	40930
159	46454	40647
160	46777	40385
161	47088	40112
162	47385	39827
163	47661	39524
164	47933	39218
165	48220	38925
166	48524	38645
167	48844	38377
168	49146	38095
169	49429	37799
170	49718	37507
171	49977	37192
172	50264	36899
173	50573	36622
174	50854	36324
175	51117	36014
176	51380	35704
177	51686	35425
178	51980	35137
179	52242	34828
180	52544	34545
181	52839	34258
182	53124	33965
183	53396	33663
184	53675	33365
185	53967	33076
186	54257	32786
187	54556	32501
188	54839	32207
189	55131	31918
190	55403	31617
191	55698	31330
192	56015	31055
193	56341	30784
194	56672	30516
195	56960	30223
196	57209	29911
197	57513	29628
198	57796	29334
199	58083	29041
200	58366	28747
201	58644	28451
202	58927	28157
203	59224	27870
204	59505	27575
205	59774	27275
206	60047	26977
207	60345	26691
208	60625	26396
209	60925	26111
210	61212	25819
211	61558	25552
212	61858	25266
213	62159	24979
214	62459	24693
215	62742	24400
216	63041	24112
217	63310	23814
218	63672	23549
219	63956	23257
220	64219	22956
221	64517	22668
222	64790	22371
223	65060	22074
224	65343	21781
225	65651	21496
226	65925	21200
227	66210	20908
228	66519	20623
229	66811	20334
230	67092	20040
231	67373	19747
232	67735	19477
233	68034	19189
234	68332	18900
235	68633	18612
236	68932	18323
237	69242	18038
238	69512	17741
239	69797	17449
240	70057	17150
241	70337	16857
242	70626	16566
243	70931	16279
244	71227	15989
245	71540	15704
246	71838	15414
247	72171	15132
248	72481	14845
249	72731	14546
250	73045	14259
251	73323	13966
252	73623	13677
253	73922	13387
254	74188	13092
255	74476	12800
256	74782	12512
257	75129	12230
258	75416	11938
259	75707	11647
260	75978	11353
261	76267	11061
262	76564	10771
263	76861	10481
264	77158	10190
265	77446	9899
266	77733	9607
267	78022	9316
268	78231	9015
269	78338	8704
270	78630	8414
271	78801	8111
272	79087	7821
273	79345	7529
274	79636	7239
275	79883	6946
276	80176	6657
277	80457	6367
278	80778	6080
279	81119	5794
280	81411	5504
281	81712	5215
282	82012	4926
283	82331	4638
284	82606	4347
285	82879	4057
286	83162	3766
287	83468	3477
288	83769	3188
289	84037	2897
290	84314	2607
291	84610	2318
292	84890	2028
293	85178	1738
294	85451	1448
295	85734	1158
296	86035	869
297	86332	579
298	86626	289
299	86936	0
